,protein1,protein2,Label
122,1157962.A0A250WV11,3702.Q9FKV6,0
123,296587.C1FF11,4572.M7ZHZ1,0
124,35608.A0A2U1NGC3,4538.I1QQF0,0
125,3702.Q944K2,4572.M7ZFZ6,0
126,210143.A0A1R3HJL0,4097.A0A1S3Y4Y0,0
127,39947.Q5KQH5,4072.A0A2G2Y2H0,0
128,3880.G7L416,39947.Q6F2Z1,0
129,3641.A0A061GJ69,3988.B9R9F9,0
130,4555.K4A6L0,80379.A0A2G3AYC0,0
131,210143.A0A1R3GM82,3916.A0A1S3UWA3,0
132,3885.V7B9K5,43335.A0A4U5QXL0,0
133,3914.A0A0L9T8D7,4577.A0A1D6HKL3,0
134,51351.M4D9J7,554065.E1Z866,0
135,4555.K3XF56,77586.A0A0D9V0H5,0
136,3659.A0A0A0K5I1,4113.M1ABL9,0
137,218851.A0A2G5C1E2,49451.A0A314KRA3,0
138,106549.A0A540NM13,40148.A0A0E0BR97,0
139,210143.A0A1R3FUK8,4555.K4A452,0
140,3760.M5WBT7,4572.M8ASP7,0
141,3075.A0A087SD84,3916.A0A1S3UIK4,0
142,29730.A0A0D2Q3K9,63057.A0A2P5EMX3,0
143,3635.A0A1U8N7Y5,4540.A0A3L6R3M4,0
144,35608.A0A2U1LKJ3,4113.M1C800,0
145,3659.A0A0A0L5J6,77586.A0A0D9Y1J5,0
146,3983.A0A2C9W9K6,40149.A0A0E0D6R4,0
147,4097.A0A1S4B8H0,554065.E1ZQC4,0
148,3885.V7CL94,888268.A0A1E5W2P5,0
149,3708.A0A078F732,4081.A0A3Q7HJU4,0
150,296587.C1DZL6,4536.A0A0E0IM86,0
151,39947.Q0DJC5,888268.A0A1E5WH38,0
152,4529.A0A0E0PD93,65489.A0A0D3F921,0
153,3641.A0A061G753,55188.A0A2H5QG67,0
154,3635.A0A1U8JLM4,4555.K4AG40,0
155,35608.A0A2U1PTF2,81985.R0HM62,0
156,3055.A8I074,4155.A0A022QJQ2,0
157,4072.A0A1U8E914,72664.V4KZ34,0
158,210143.A0A1R3JYG6,296587.C1EAK6,0
159,3821.A0A151SDA2,4537.A0A0E0K3U1,0
160,33097.A0A150GJ57,3916.A0A1S3UFR6,0
161,33114.A0A2G2VY82,4536.A0A0E0HKP1,0
162,3055.A8HSU7,4555.K3XM19,0
163,33097.A0A150H2K9,4565.A0A1D5V328,0
164,4577.A0A1D6QTE4,55188.A0A2H5NZV7,0
165,39947.P40978,81985.R0GM13,0
166,3476.A0A2P5BEK3,51351.M4E8N2,0
167,3916.A0A1S3UM12,80379.A0A2G3CT04,0
168,43335.A0A4U5M514,65489.A0A0D3GIG0,0
169,33114.A0A2G2VRF6,39947.D0TZF0,0
170,4533.J3LHC6,4565.A0A3B6INL4,0
171,106549.A0A540KJT5,22663.A0A2I0IZA2,0
172,33114.A0A2G2VNJ8,3760.A0A251N5G6,0
173,1291522.A0A059LLJ7,3775.A0A1Q3BWU5,0
174,4097.A0A1S4AA19,43335.A0A4U5QNW9,0
175,3760.M5WD97,4097.A0A1S3X4A2,0
176,43335.A0A4U5QS20,65489.A0A0D3FXT2,0
177,4081.A0A3Q7GSJ7,4565.A0A3B6NJH9,0
178,3827.A0A1S2YDG2,4540.A0A3L6SMY5,0
179,35608.A0A2U1LWH0,981085.W9RM88,0
180,296587.C1EEJ3,3708.A0A078H2E0,0
181,40148.A0A0D9YUG3,72664.V4LPD2,0
182,33097.A0A150G325,4540.A0A3L6SCB4,0
183,3880.G7I853,4533.J3NBP7,0
184,109376.A0A0D3BTW9,43335.A0A4U5PL95,0
185,35608.A0A2U1LFD7,4529.A0A0E0MU53,0
186,3821.A0A151SKM9,4565.A0A3B5YWJ3,0
187,33114.A0A2G2W3I9,81985.R0GQY0,0
188,106549.A0A540L378,3880.A0A072V066,0
189,3702.Q9ZR03,3885.V7BUF4,0
190,85681.V4TS21,85681.V4U969,0
191,3827.A0A3Q7X3M3,81985.R0FEE5,0
192,4537.A0A0E0K8B1,4537.A0A0E0KC51,0
193,1590841.A0A2R6QH41,40148.A0A0D9ZUM3,0
194,4540.A0A3L6S128,554065.E1ZCR2,0
195,3821.A0A151S1A9,4081.A0A3Q7HEK2,0
196,3827.A0A1S2XRG4,77586.A0A0D9VET5,0
197,72664.V4MK45,81985.R0G2L2,0
198,35608.A0A2U1P8E2,4540.A0A3L6R6P8,0
199,1590841.A0A2R6PGW6,218851.A0A2G5EU28,0
